City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Sitka,US,57.0531,-135.33,28.29,34,0,12.66,clear sky
143,Contamana,PE,-7.3333,-75.0167,95.77,38,99,9.19,overcast clouds
144,Panguipulli,CL,-39.6333,-72.3333,67.86,23,2,6.31,clear sky
145,Souillac,MU,-20.5167,57.5167,73.78,83,40,2.3,light rain
146,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,18.41,scattered clouds
147,Bad Munstereifel,DE,50.55,6.7667,41.86,95,100,4.07,overcast clouds
148,Ancud,CL,-41.8697,-73.8203,55.08,57,14,6.6,few clouds
149,Hithadhoo,MV,-0.6,73.0833,80.76,74,69,6.64,broken clouds
150,Ardakan,IR,32.31,54.0175,55.38,38,100,6.08,overcast clouds
151,Gostilitsy,RU,59.7483,29.622,22.82,89,100,3.76,overcast clouds
152,Benjamin Constant,BR,-4.3831,-70.0311,91.53,58,40,6.91,scattered clouds
153,Codrington,AU,-38.2667,141.9667,57.45,88,83,3.8,broken clouds
154,Mehamn,NO,71.0357,27.8492,33.75,86,75,4.61,broken clouds
155,Chicama,PE,-7.8447,-79.1469,72.14,63,82,10.22,broken clouds
156,Clyde River,CA,70.4692,-68.5914,-26.77,91,12,4.12,few clouds
157,Georgetown,MY,5.4112,100.3354,80.24,88,20,1.14,few clouds
158,Isla Vista,US,34.4133,-119.861,66.99,70,40,10.36,scattered clouds
159,Naples,IT,40.8333,14.25,55.74,70,40,5.75,scattered clouds
160,Lebu,CL,-37.6167,-73.65,55.89,65,0,20.85,clear sky
161,Tutoia,BR,-2.7619,-42.2744,79.95,76,50,10.49,scattered clouds
162,Zyryanka,RU,65.75,150.85,-15.88,97,100,11.59,light snow
163,Mancio Lima,BR,-7.6142,-72.8958,97.3,30,97,4.54,overcast clouds
164,Deputatskiy,RU,69.3,139.9,-14.66,99,100,3.65,light snow
165,Tyukhtet,RU,56.5389,89.3011,-15.0,99,15,2.55,few clouds
166,Matara,LK,5.9485,80.5353,74.95,90,100,4.05,overcast clouds
167,Beringovskiy,RU,63.05,179.3167,25.95,96,100,7.49,overcast clouds
168,Beidao,CN,34.5686,105.8933,21.56,40,92,1.12,overcast clouds
169,Karratha,AU,-20.7377,116.8463,80.98,57,96,8.14,light rain
170,Gonen,TR,40.1049,27.654,59.02,58,100,7.87,overcast clouds
171,Mana,GF,5.6592,-53.7767,77.79,87,30,9.35,scattered clouds
172,Mianyang,CN,31.4593,104.7542,37.78,68,98,1.01,overcast clouds
173,Narok,KE,-1.0783,35.8601,61.0,78,85,7.34,overcast clouds
174,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,64,75,9.22,broken clouds
175,Avarua,CK,-21.2078,-159.775,82.45,74,75,17.27,broken clouds
176,San Patricio,US,28.017,-97.5169,66.29,44,3,17.72,clear sky
177,Maarianhamina,AX,60.0973,19.9348,37.26,93,75,9.22,broken clouds
178,Abha,SA,18.2164,42.5053,55.65,88,87,6.91,overcast clouds
179,Champerico,GT,14.3,-91.9167,82.78,73,17,8.28,few clouds
180,Alekseyevka,RU,50.6309,38.6903,26.06,58,100,11.23,overcast clouds
181,Ilhabela,BR,-23.7781,-45.3581,72.84,95,100,7.43,moderate rain
182,Tuktoyaktuk,CA,69.4541,-133.0374,2.7,96,100,7.14,light snow
183,Petrovsk-Zabaykalskiy,RU,51.273,108.843,-0.62,90,100,11.9,overcast clouds
184,El Alto,PE,-4.2714,-81.2147,73.06,72,31,15.82,scattered clouds
185,Pangnirtung,CA,66.1451,-65.7125,-20.13,86,16,4.18,few clouds
186,Monticello,US,45.3055,-93.7941,19.78,66,100,13.8,overcast clouds
187,Mandalgovi,MN,45.7625,106.2708,-4.83,57,5,5.23,clear sky
188,Abnub,EG,27.2696,31.1511,62.31,43,0,2.62,clear sky
189,Anadyr,RU,64.75,177.4833,27.1,93,0,4.47,clear sky
190,Kongolo,CD,-5.3833,27.0,69.55,96,100,0.63,light rain
191,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,11.5,light shower sleet
192,Nemuro,JP,43.3236,145.575,29.57,54,10,21.56,clear sky
193,Chapais,CA,49.7834,-74.8492,24.58,97,100,13.8,snow
194,Tecoanapa,MX,16.5167,-98.75,82.87,67,51,8.28,broken clouds
195,Bredasdorp,ZA,-34.5322,20.0403,63.64,80,68,2.1,broken clouds
196,Kuvshinovo,RU,57.0295,34.1725,12.99,92,99,3.69,overcast clouds
197,Nouadhibou,MR,20.931,-17.0347,65.61,74,0,16.89,clear sky
198,Opuwo,NA,-18.0607,13.84,72.82,44,32,7.99,scattered clouds
199,Jiayuguan,CN,39.8167,98.3,8.26,74,14,3.06,few clouds
200,Harper,LR,4.375,-7.7169,79.14,81,83,4.81,broken clouds
201,Benguela,AO,-12.5763,13.4055,77.4,80,100,5.08,overcast clouds
202,Guilin,CN,25.2819,110.2864,34.68,89,100,9.95,light snow
203,Bowen,AU,-20.0167,148.2333,70.95,88,100,10.02,overcast clouds
204,Kidal,ML,18.4411,1.4078,75.31,18,52,7.61,broken clouds
205,Ardrossan,GB,55.6502,-4.8066,43.21,90,100,7.11,light rain
206,Pacific Grove,US,36.6177,-121.9166,59.43,68,0,5.01,clear sky
207,Buckeye,US,33.3703,-112.5838,73.29,30,0,8.05,clear sky
208,Pevek,RU,69.7008,170.3133,1.17,91,100,2.42,overcast clouds
209,Olinda,BR,-8.0089,-34.8553,78.53,78,75,3.44,broken clouds
210,Roald,NO,62.5833,6.1333,44.33,81,75,10.36,broken clouds
211,Mao,ES,39.8885,4.2658,48.76,81,0,6.91,clear sky
212,Oblivskaya,RU,48.5362,42.5014,25.81,45,89,13.47,overcast clouds
213,Galle,LK,6.0367,80.217,76.8,85,100,2.8,overcast clouds
214,Loralai,PK,30.3705,68.598,51.58,24,9,2.53,clear sky
215,Kishtwar,IN,33.3167,75.7667,45.52,40,100,5.53,overcast clouds
216,Maumere,ID,-8.6199,122.2111,78.93,80,100,1.45,overcast clouds
217,Ambilobe,MG,-13.2,49.05,76.32,83,97,1.43,light rain
218,Aquiraz,BR,-3.9014,-38.3911,81.18,73,90,11.54,overcast clouds
219,Saurimo,AO,-9.6608,20.3916,63.97,95,100,2.51,light rain
220,Guerrero Negro,MX,27.9769,-114.0611,65.32,60,11,12.8,few clouds
221,Moerai,PF,-22.4333,-151.3333,75.11,78,100,11.72,overcast clouds
222,Kedrovyy,RU,56.1667,91.8167,0.01,98,44,3.47,scattered clouds
223,Bandundu,CD,-3.3167,17.3667,68.95,95,98,0.47,overcast clouds
224,Cidreira,BR,-30.1811,-50.2056,71.08,91,99,18.12,overcast clouds
225,Bayevo,RU,53.2833,80.7667,-7.67,87,11,7.9,few clouds
226,Akdepe,TM,42.0551,59.3788,26.26,35,7,5.21,clear sky
227,Ganzhou,CN,28.8184,115.4327,30.25,92,100,6.69,snow
228,Bweyogerere,UG,0.3558,32.6672,69.55,94,99,1.79,light rain
229,Westport,US,41.1415,-73.3579,58.46,87,100,27.63,light rain
230,Mount Isa,AU,-20.7333,139.5,71.37,56,0,6.91,clear sky
231,Bollnas,SE,61.3482,16.3946,29.64,99,99,1.39,overcast clouds
232,Siayan,PH,8.2667,123.1,75.49,94,75,3.69,broken clouds
233,Bemidji,US,47.4736,-94.8803,11.97,77,0,20.71,clear sky
234,Nelson Bay,AU,-32.7167,152.15,68.0,81,100,8.01,light rain
235,Inuvik,CA,68.3499,-133.7218,-0.11,92,100,4.88,overcast clouds
236,San Carlos Del Zulia,VE,9.0,-71.9135,82.35,75,95,1.74,light rain
237,Fort Nelson,CA,58.8053,-122.7002,-7.26,78,6,3.98,clear sky
238,Ponta Delgada,PT,37.7333,-25.6667,61.52,82,75,2.3,broken clouds
239,Birao,CF,10.2849,22.7882,79.88,31,91,4.9,overcast clouds
240,Mazamari,PE,-11.3258,-74.5308,86.76,53,82,1.63,broken clouds
241,Alice Springs,AU,-23.7,133.8833,53.15,66,0,0.0,clear sky
242,Korla,CN,41.7597,86.1469,15.49,18,83,3.91,broken clouds
